Timestamp,X,Y,Z,Xangle,Yangle,Zangle
17.66602,0.2187982,1.168378,0.6371111,0.3344753,-0.4929976,-0.1492885
17.70126,0.2105751,1.167035,0.6340768,0.3332112,-0.494013,-0.1433026
17.737,0.2023945,1.165277,0.6322885,0.3303463,-0.493452,-0.1374143
17.77393,0.1947234,1.163851,0.63269,0.3252293,-0.4898274,-0.1322188
17.81021,0.1863005,1.159652,0.6324534,0.329203,-0.484849,-0.1278297
17.84762,0.1805019,1.156239,0.632755,0.3257129,-0.4835227,-0.1196326
17.88384,0.1752825,1.153134,0.6331743,0.3253415,-0.4816006,-0.1128665
17.92035,0.1696832,1.150491,0.6352501,0.3233681,-0.4754959,-0.1086655
17.95704,0.1644003,1.147588,0.6387495,0.3200821,-0.4686517,-0.1031606
17.99511,0.1600811,1.146157,0.6390321,0.3206496,-0.4709903,-0.09764938
18.03281,0.1555943,1.144689,0.6422744,0.3183692,-0.4621158,-0.09520353
18.07279,0.1520329,1.143943,0.6447587,0.3129468,-0.4580248,-0.09130338
18.1141,0.1490898,1.14127,0.6469295,0.3174451,-0.45657,-0.08708388
18.15559,0.1455534,1.139159,0.651963,0.3051716,-0.4497805,-0.07720588
18.19995,0.1430674,1.137896,0.65412,0.2996821,-0.4493215,-0.07108393
18.24347,0.1405754,1.136731,0.6531477,0.312722,-0.447265,-0.08057528
18.28504,0.1383433,1.135881,0.6511216,0.3114808,-0.4534438,-0.07076537
18.32704,0.1366026,1.138716,0.6543964,0.2940458,-0.4484915,-0.06166364
18.36814,0.1348858,1.145306,0.6586798,0.282714,-0.4434736,-0.07289008
18.39474,0.134644,1.149364,0.6598082,0.2749125,-0.4459981,-0.07295375
18.42111,0.1338289,1.156003,0.6602781,0.2652269,-0.4511637,-0.07850602
18.44773,0.133451,1.161285,0.6609784,0.2574166,-0.4539265,-0.08508778
18.47947,0.1342814,1.169931,0.6634212,0.2493649,-0.4526245,-0.09922285
18.5097,0.1352732,1.174558,0.6646597,0.2456532,-0.4513796,-0.1018962
18.54579,0.1370194,1.184839,0.6650903,0.2239488,-0.4619463,-0.09082134
18.58697,0.1390188,1.19694,0.6662617,0.2075996,-0.4663675,-0.1013801
18.61458,0.1406322,1.201873,0.6667626,0.2041165,-0.4662257,-0.1117842
18.64018,0.1418934,1.205428,0.6659498,0.2001009,-0.4698979,-0.1162446
18.66648,0.1423666,1.207675,0.663952,0.2009798,-0.4811125,-0.1112647
18.69152,0.143393,1.209133,0.6635901,0.1949859,-0.4860068,-0.1045612
18.71688,0.1445408,1.210016,0.6643498,0.1922844,-0.4858916,-0.1012382
18.74183,0.1452119,1.211529,0.6651348,0.1896394,-0.4867106,-0.1010065
18.76567,0.1451178,1.214327,0.6660035,0.1836323,-0.4904808,-0.1031943
18.79081,0.144449,1.216784,0.6655731,0.1792412,-0.4978556,-0.1042644
18.81511,0.1443522,1.21965,0.6658809,0.177589,-0.499769,-0.1113765
18.83866,0.1449089,1.223216,0.6673996,0.1761162,-0.4955617,-0.1190491
18.86328,0.1447978,1.228716,0.6679562,0.1662411,-0.4953901,-0.1261378
18.88877,0.1442003,1.238124,0.666104,0.1509145,-0.5037866,-0.1346862
18.91326,0.1442597,1.245265,0.6634408,0.1451247,-0.5111454,-0.1437608
18.93773,0.1440568,1.253995,0.660064,0.141048,-0.5179772,-0.1560845
18.96197,0.1442297,1.263627,0.6573403,0.1359727,-0.5221404,-0.1717013
18.98693,0.1457939,1.278163,0.6529151,0.1195069,-0.5317419,-0.1843896
19.01248,0.1479599,1.288338,0.648912,0.1058598,-0.5398682,-0.1814655
19.03668,0.151181,1.298624,0.6450185,0.09610524,-0.5460719,-0.181213
19.06089,0.1556485,1.309959,0.6413012,0.08669192,-0.550202,-0.1893167
19.08648,0.1608295,1.321319,0.6372662,0.07355823,-0.5548322,-0.1991824
19.11268,0.1717086,1.337214,0.6301823,0.05243442,-0.5629854,-0.2096514
19.13808,0.1807594,1.344766,0.6256189,0.04266091,-0.5663045,-0.2085739
19.1624,0.1897891,1.349331,0.6224099,0.03772605,-0.564421,-0.2049134
19.18628,0.1995392,1.35112,0.6203244,0.02978878,-0.5595764,-0.1907237
19.21099,0.2162066,1.351411,0.617821,0.01657237,-0.5548822,-0.1695549
19.23491,0.2269406,1.35047,0.6157209,0.01154872,-0.5595404,-0.1659188
19.26007,0.2377186,1.347158,0.6141999,0.0149744,-0.5632289,-0.1623428
19.28346,0.2491002,1.339925,0.6157389,0.02973133,-0.5591133,-0.1593622
19.30764,0.2603638,1.330052,0.6196722,0.05113851,-0.54893,-0.155551
19.33245,0.276561,1.311528,0.6276597,0.07189745,-0.5335512,-0.1365631
19.3562,0.2864423,1.298371,0.6331692,0.07553159,-0.5337594,-0.1144555
19.37979,0.295579,1.283091,0.6377767,0.08774415,-0.5332479,-0.09341343
19.40355,0.3048325,1.267533,0.6452799,0.1081555,-0.5219736,-0.08573969
19.42695,0.3147268,1.252342,0.6540728,0.1297189,-0.506101,-0.08612408
19.45022,0.3246641,1.237705,0.6628225,0.1443685,-0.4914484,-0.07846377
19.47376,0.3340495,1.223983,0.6708111,0.1573452,-0.4792021,-0.0670705
19.49694,0.3421814,1.210912,0.6771271,0.1743073,-0.4703828,-0.05855674
19.52111,0.3525598,1.194347,0.6859779,0.1986696,-0.4574991,-0.05687455
19.54658,0.3598614,1.185981,0.6923296,0.2151143,-0.4442306,-0.07232386
19.57094,0.3664954,1.178288,0.6980481,0.2286489,-0.4326229,-0.08235341
19.59492,0.3717394,1.17171,0.7021936,0.2411436,-0.4251753,-0.08729606
19.61876,0.3753893,1.165866,0.7046545,0.2531486,-0.4215411,-0.09174532
19.64233,0.3782558,1.158337,0.7062318,0.2800736,-0.4178685,-0.1134631
19.66616,0.3794315,1.153647,0.7068697,0.2972944,-0.414981,-0.1311992
19.69045,0.3802061,1.149,0.7075973,0.3092971,-0.4131652,-0.1402932
19.71554,0.3799744,1.146092,0.7093005,0.3102831,-0.4110869,-0.1415575
19.73918,0.3793426,1.143757,0.711254,0.3116752,-0.4068877,-0.1505333
19.7642,0.3766935,1.141648,0.7123913,0.3130133,-0.406535,-0.1622527
19.78764,0.3742323,1.139216,0.7122493,0.3236731,-0.4051731,-0.1736589
19.81085,0.3726628,1.136186,0.7125088,0.3329409,-0.4014602,-0.1801038
19.83413,0.3708668,1.133584,0.7131215,0.3358277,-0.3990882,-0.1818971
19.85754,0.3689415,1.131781,0.7136221,0.3352783,-0.3986408,-0.1809137
19.88103,0.3667386,1.130424,0.7135205,0.3353475,-0.3992943,-0.1810187
19.90432,0.3647573,1.130333,0.7138832,0.3382586,-0.3949339,-0.1910541
19.92775,0.3633621,1.1309,0.7141013,0.3407897,-0.3903458,-0.201984
19.96978,0.3610642,1.135933,0.7151235,0.3321583,-0.3862494,-0.2152477
20.0004,0.3597376,1.138836,0.7128868,0.3296953,-0.3926847,-0.2176762
20.03527,0.3572242,1.142534,0.7062649,0.3337977,-0.4100463,-0.2150154
20.07529,0.3555095,1.146179,0.7015088,0.3297398,-0.4211682,-0.2036962
20.11051,0.35428,1.149488,0.6995384,0.3246729,-0.4242886,-0.2033828
20.13425,0.3534973,1.15163,0.6985011,0.324219,-0.4246985,-0.2072134
20.1584,0.3525355,1.153147,0.697405,0.3226148,-0.4273802,-0.207005
20.18217,0.3517358,1.15424,0.6965806,0.3223426,-0.4287103,-0.2044562
20.207,0.3509946,1.155006,0.6965322,0.3209003,-0.4290196,-0.2018538
20.23071,0.3497777,1.155498,0.6961199,0.318118,-0.4298802,-0.1955543
20.25425,0.348721,1.156246,0.6956199,0.3175309,-0.4308651,-0.1949792
20.27786,0.3475456,1.156914,0.6953963,0.3157778,-0.4313095,-0.1943146
20.30145,0.3458855,1.157539,0.6949942,0.3139443,-0.4306728,-0.1924755
20.32528,0.3443296,1.158407,0.6941998,0.3115012,-0.4318879,-0.1897679
20.34902,0.3425601,1.158899,0.6927167,0.3119055,-0.4342168,-0.188463
20.37325,0.340744,1.159441,0.6909119,0.3127876,-0.4367907,-0.1874243
20.39743,0.3377655,1.160212,0.6884289,0.3115325,-0.4406143,-0.1850272
20.4229,0.3363767,1.160532,0.6876049,0.3089412,-0.4402183,-0.1786661
20.44741,0.3355546,1.161114,0.6867102,0.3040579,-0.442867,-0.1699531
20.47157,0.3343449,1.162642,0.6857643,0.2985881,-0.4501036,-0.1647562
20.49731,0.3350139,1.163473,0.6890789,0.3014738,-0.4407789,-0.1743689
20.52132,0.3371506,1.161546,0.6914403,0.3090524,-0.4306365,-0.1731938
20.54526,0.3397841,1.15983,0.6944505,0.3120999,-0.4246648,-0.1676757
20.56893,0.3427541,1.158216,0.6965756,0.3139762,-0.4197919,-0.1655833
20.59281,0.3443503,1.155309,0.6985428,0.3240948,-0.4163543,-0.1705419
20.61638,0.3469474,1.152369,0.7004546,0.3338954,-0.4118707,-0.1752813
20.64146,0.3503351,1.147771,0.70245,0.3418704,-0.4075174,-0.1717919
20.66589,0.3524089,1.144978,0.7030348,0.3461391,-0.4075382,-0.1707059
20.69056,0.3535423,1.142809,0.7020801,0.3538788,-0.4086086,-0.1776118
20.71469,0.353977,1.141935,0.6993855,0.3641253,-0.4124084,-0.1927342
20.7385,0.354496,1.141126,0.6963047,0.3740821,-0.4160212,-0.2043459
20.76216,0.3547249,1.140404,0.6937544,0.3811628,-0.4199166,-0.211949
20.78582,0.3548901,1.139736,0.6920139,0.3819759,-0.4214998,-0.222023
20.80916,0.3551939,1.140438,0.6923167,0.3800219,-0.4174144,-0.2361891
20.85262,0.3568158,1.141589,0.6934187,0.3835492,-0.4099322,-0.2681796
20.87863,0.3581665,1.142275,0.6934421,0.3842885,-0.4095238,-0.2839212
20.90256,0.3594713,1.142326,0.6927619,0.3881958,-0.4083695,-0.3011556
20.92624,0.3608363,1.141772,0.6918595,0.390808,-0.4091481,-0.3121458
20.95019,0.3624806,1.140764,0.6915649,0.3912124,-0.4066695,-0.3190367
20.97428,0.3639798,1.139659,0.6913586,0.3888476,-0.4047134,-0.3214982
20.99776,0.3657708,1.139287,0.6903423,0.388313,-0.4035432,-0.330089
21.02185,0.3668642,1.139363,0.688967,0.3886285,-0.4054287,-0.3357253
21.04521,0.3675647,1.139493,0.6871039,0.3887826,-0.4084744,-0.3378399
21.06874,0.3677692,1.139526,0.6857684,0.386038,-0.4114964,-0.3347062
21.0934,0.3677223,1.139601,0.6849245,0.3844883,-0.4115554,-0.334368
21.11669,0.3673618,1.140171,0.6838591,0.3816847,-0.4129869,-0.3320834
21.14035,0.3664439,1.141576,0.6823714,0.3800493,-0.4166859,-0.3311499
21.1636,0.3639224,1.144691,0.6804371,0.3761635,-0.4220901,-0.3302233
21.18834,0.3617177,1.146663,0.6792781,0.3733089,-0.4242402,-0.3283844
21.21189,0.3584018,1.149157,0.6771885,0.3699488,-0.4294314,-0.324713
21.23562,0.3545227,1.151348,0.6753027,0.3661578,-0.4335004,-0.318802
